o,o,x,x,11,o,x,x,o,
o,o,x,1,x,0,o,x,1,
1,1,1,1,x,o,x,o,11,
1,1,11,o,x,o,x,o,x,
1,1,o,1,x,11,o,x,1,
o,1,o,11,x,x,o,x,1,
22,1,o,o,x,1,1,1,x,
x,11,o,1,x,1,o,x,o,
x,o,o,1,x,1,1,11,1,
x,o,o,1,x,o,1,x,11,
o,o,1,1,x,1,x,11,1,
o,o,1,11,x,1,x,x,o,
o,o,11,x,x,o,x,x,o,
x,0,1,x,x,o,o,o,1,
o,o,x,o,x,x,1,1,11,
11,1,1,1,1,1,1,o,x,
x,1,1,1,o,1,11,o,x,
x,1,1,11,o,o,x,o,x,
o,1,1,1,1,x,0,1,1,
o,1,0,1,1,x,x,1,o,
0,1,x,1,x,o,o,1,1,
x,1,x,0,x,o,o,1,o,
x,21,x,1,x,o,1,o,o,
x,1,12,1,o,1,1,1,1,
x,1,x,1,o,11,o,1,1,
x,11,x,o,o,x,o,1,1,
x,1,o,o,x,x,1,2,o,
1,1,1,11,1,1,x,1,o,
11,1,1,x,1,1,x,o,o,
x,1,1,o,1,1,1,1,21,
x,1,o,o,1,11,1,1,x,
x,o,o,o,1,x,1,11,x,
x,o,o,o,11,x,o,x,x,
o,o,x,11,x,x,o,1,1,
x,0,o,x,x,1,1,o,o,
1,o,1,1,x,1,o,x,11,
11,o,1,o,x,1,o,x,x,
1,1,o,x,x,1,o,11,1,
o,11,o,x,x,1,o,x,1,
1,1,o,11,x,o,1,1,x,
1,o,o,x,x,o,11,1,x,
31,o,o,x,x,o,x,o,x,
1,1,1,1,1,o,x,10,1,
1,11,1,1,o,o,x,x,1,
1,x,o,1,o,o,x,x,11,
1,x,1,0,1,o,1,1,1,
1,x,o,x,1,o,1,0,1,
x,11,x,o,x,o,1,1,o,
1,1,1,o,x,o,x,1,11,
o,1,1,o,x,o,x,11,x,
o,1,1,1,x,1,o,x,0,
o,1,o,1,x,0,o,x,x,
x,o,x,o,x,o,11,x,o,
1,o,o,1,x,2,x,x,o,
2,o,o,o,x,x,x,x,o,
x,11,1,o,x,1,o,x,o,
1,o,1,11,x,1,x,o,1,
1,o,o,x,x,1,x,o,11,
x,o,1,o,11,1,1,1,x,
1,1,1,11,1,x,1,o,1,
1,1,o,x,11,x,1,o,1,
1,o,1,o,x,1,x,1,11,
1,o,o,o,x,1,x,11,x,
1,o,x,1,x,1,11,o,1,
1,1,o,x,x,o,1,1,11,
o,1,o,x,x,o,1,11,x,
o,11,o,x,x,o,o,x,x,
1,1,o,1,11,1,x,1,1,
1,o,o,11,x,x,x,o,1,
1,1,1,0,1,o,x,x,o,
o,1,1,x,0,o,x,x,o,
x,11,1,o,x,1,1,o,1,
x,x,1,o,x,1,o,o,11,
o,o,x,x,x,11,o,1,1,
1,o,o,11,x,x,x,1,o,
o,1,x,1,x,1,1,o,11,
o,1,x,o,x,11,1,o,x,
x,o,x,1,o,1,1,1,2,
x,o,x,2,o,1,o,1,x,
x,o,x,x,o,o,o,2,x,
o,o,x,1,x,x,11,1,o,
1,o,11,1,x,o,x,1,1,
